Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Columbia_300A_SW48_000053_2_p08,Columbia_300A_SW48_000054_3_p08,Columbia_300A_SW48_000055_2_p08,Columbia_300A_SW48_000056_2_p08,Columbia_300A_SW48_000057_2_p08,Columbia_300A_SW48_000058_2_p08,Columbia_300A_SW48_000060_2_p08,Columbia_300A_SW48_000061_2_p08,Columbia_300A_SW48_000062_2_p08,Columbia_300A_SW48_000063_2_p08,Columbia_300A_SW48_000064_2_p08,Columbia_300A_SW48_000065_2_p08,Columbia_300A_SW48_000066_2_p08,Columbia_300A_SW48_000067_2_p08,Columbia_300A_SW48_000051_2_p08,Columbia_300A_SW48_000052_2_p08
99.5563383815633,0,0,0,0,0,0,0,0,,None,100.563614848443,0,0,0,0,1298556.6,0,0,0,4237896.5,0,0,0,0,0,0,0,0,3518488.8
100.418062152985,0,0,0,0,0,0,0,0,,None,101.425338619865,0,0,0,0,0,0,1072466.9,0,0,0,0,0,0,0,0,0,0,0
102.243835837031,0,0,0,0,0,0,0,0,,None,103.251112303911,0,0,0,0,0,1059891.3,0,0,0,0,0,1220229.1,0,0,0,0,0,0
103.603891546816,0,0,0,0,0,0,0,0,,None,104.611168013696,0,0,0,0,0,0,0,0,0,1104036.9,0,0,0,0,0,0,0,0
103.616085203897,0,0,0,0,0,0,0,0,,None,104.623361670777,0,0,0,0,0,0,0,0,0,0,0,0,1076375.6,0,0,0,0,0
104.088347518373,0,0,0,0,0,0,0,0,,None,105.095623985253,0,0,0,0,0,0,0,0,1027646.6,0,0,0,0,0,0,0,0,0
104.137227620863,0,0,0,0,0,0,0,0,,None,105.144504087743,0,0,1389258.4,0,0,0,0,0,0,0,0,1876636.8,0,0,0,0,0,0
104.155498204939,0,0,0,0,0,0,0,0,,None,105.162774671819,0,0,0,0,0,0,0,0,1071454.1,0,0,0,0,0,0,0,0,0
104.562208152621,0,0,0,0,0,0,0,0,,None,105.569484619501,0,0,1032321.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.659712830853,0,0,0,0,0,0,0,0,,None,105.666989297733,0,0,0,0,0,0,0,0,0,1096148.9,0,0,0,0,0,0,0,0
105.033159240216,0,0,0,0,0,0,0,0,,None,106.040435707096,0,0,0,0,1048399.9,0,0,0,0,0,0,0,0,0,0,0,0,0
105.055441829761,0,0,0,0,0,0,0,0,,None,106.062718296641,0,0,0,0,0,1059963.4,0,0,0,0,0,0,0,0,0,0,0,0
105.427803585416,0,0,0,0,0,0,0,0,,None,106.435080052296,0,0,0,0,0,0,0,1070667.1,0,0,0,0,0,0,0,0,0,0
105.559183493686,0,0,0,0,0,0,0,0,,None,106.566459960566,0,0,0,0,0,0,0,0,0,0,1048540.8,0,0,0,0,0,0,0
